	Chiroderma_villosum	Carollia_brevicauda	Sturnira_ludovici	Artibeus_jamaicensis	Hsunycteris_thomasi	Anoura_geoffroyi	Glossophaga_soricina	Noctilio_leporinus	Mormoops_blainvillei	Macrotus_waterhousi	Pteronotus_pusillus	Desmodus_rotundus
sp|P00172|CYB5_PIG	9.406830693	1.443088467	11.32590006	9.025752138	1.443088467	1.443088467	1.443088467	12.26794666	1.443088467	1.443088467	10.54410707	1.443088467
sp|P14923|PLAK_HUMAN	12.46098973	12.5406372	12.6149006	10.19156774	1.443088467	13.43140311	2.550492191	3.760630984	2.723479219	4.823364668	2.645709316	7.852749821
sp|P39872|RL3_BOVIN	3.638023642	2.486017372	13.32526548	13.0599537	3.382795688	10.91609372	11.23294651	2.802555411	2.499418	11.63208513	1.443088467	8.194897327
sp|Q9JMH4|COHA1_MESAU	3.487240126	3.615208959	7.212515957	11.79866815	1.443088467	10.9335853	10.56616103	13.16989791	1.443088467	1.443088467	1.443088467	1.443088467
sp|P09739|TNNT3_RAT	11.53954295	4.927011146	11.78393365	12.50435894	12.24312823	2.185746503	12.97267123	2.802555411	3.064207824	3.27884561	2.819512216	11.7171812
sp|E2RH47|RS3_CANLF	1.443088467	1.443088467	5.176980726	12.08713508	1.443088467	11.80692413	1.443088467	2.802555411	2.906948104	12.15039316	3.100810506	11.19927406
sp|P62908|RS3_MOUSE	1.443088467	1.443088467	5.176980726	12.08713508	1.443088467	11.80692413	1.443088467	2.802555411	2.906948104	12.15039316	3.100810506	11.19927406
sp|P62909|RS3_RAT	1.443088467	1.443088467	5.176980726	12.08713508	1.443088467	11.80692413	1.443088467	2.802555411	2.906948104	12.15039316	3.100810506	11.19927406
sp|Q62764|YBOX3_RAT	11.84181439	11.02745436	9.751963445	5.470403285	1.443088467	11.67924484	11.23747702	11.24348728	2.198175254	12.10664136	1.443088467	1.443088467
sp|P15924|DESP_HUMAN	8.885268514	13.64247523	13.02240462	12.32417018	9.68482821	13.88259887	8.275683254	2.995590903	15.46776941	7.181959173	3.219423082	1.443088467
sp|Q9NQ38|ISK5_HUMAN	11.29746663	11.220143	2.884346055	1.443088467	10.03221396	8.007388317	1.443088467	12.57468088	2.499418	12.6386079	3.100810506	11.82237991
sp|Q16654|PDK4_HUMAN	3.117972171	3.305049482	12.36463218	1.443088467	13.12558605	12.43297787	2.550492191	5.002583211	3.20273085	10.95713723	1.443088467	3.103472323
sp|Q64337|SQSTM_MOUSE	2.10643049	11.274735	11.509544	1.443088467	10.67705471	1.443088467	1.443088467	11.01982912	9.048957891	10.73247993	2.645709316	11.63865768
sp|O70548|TELT_MOUSE	12.32152817	11.89141421	13.11839839	7.638632194	1.443088467	1.443088467	5.664300196	3.553012967	5.892752217	12.52181021	1.443088467	2.943035069
sp|A6H769|RS7_BOVIN	10.68205247	11.33977943	9.483087958	11.69891298	11.18752372	1.443088467	1.443088467	13.99899855	12.94506575	11.34855067	6.49313992	1.443088467
sp|Q5RT64|RS7_FELCA	10.68205247	11.33977943	9.483087958	11.69891298	11.18752372	1.443088467	1.443088467	13.99899855	12.94506575	11.34855067	6.49313992	1.443088467
sp|P62081|RS7_HUMAN	10.68205247	11.33977943	9.483087958	11.69891298	11.18752372	1.443088467	1.443088467	13.99899855	12.94506575	11.34855067	6.49313992	1.443088467
sp|P62082|RS7_MOUSE	10.68205247	11.33977943	9.483087958	11.69891298	11.18752372	1.443088467	1.443088467	13.99899855	12.94506575	11.34855067	6.49313992	1.443088467
sp|P62083|RS7_RAT	10.68205247	11.33977943	9.483087958	11.69891298	11.18752372	1.443088467	1.443088467	13.99899855	12.94506575	11.34855067	6.49313992	1.443088467
sp|P24534|EF1B_HUMAN	9.013289638	11.32733632	11.4711228	1.443088467	10.54399177	7.197787558	3.138155849	14.04902637	12.13094791	2.648666827	12.37115199	1.443088467
sp|P15104|GLNA_HUMAN	13.90535883	2.486017372	12.70616214	9.565642012	10.90564057	12.08572066	12.9641923	2.995590903	14.43742397	15.1624796	3.761884121	14.05403706
sp|O14558|HSPB6_HUMAN	3.221179078	1.443088467	4.002502979	5.981727978	1.443088467	12.25767118	1.443088467	10.56353901	11.86703734	1.443088467	1.443088467	11.82141945
sp|Q8R1F1|NIBA2_MOUSE	1.443088467	6.340307884	12.93525615	12.00267515	5.823298729	12.23866761	1.443088467	4.36951279	13.35762204	6.336077576	3.426896073	13.01534727
